from,to
Platzeck,SPD
Pofalla,DB
Pofalla,CDU
Praetorius,HTW
Tillich,CDU
Hasselfeldt,DRK
Hasselfeldt,CSU
Kampeter,BDA
Kampeter,CDU
Kapferer,BDEW
Kapferer,FDP
Kempf,BDI
Nemat,Telekom
Reiche,VKU
Reiche,CDU
Roestel,SD
Roestel,EnBW
Roestel,Gruenen
Schweitzer,DIHT
Schweitzer,Alba
Grothus,BfB
Wodtke,CDU
Wodtke,GZW
Herntier,BSPR
Kreuzberg,CDU
Kreuzberg,LREK
Priggen,Gruenen
Priggen,LEENRW
Vassiliadis,IGBCE
Vassiliadis,SPD
Scheidt,Verdi
Scheidt,SPD
Scheidt,Eon
Koerzell,DGB
Koerzell,SPD
Kaiser,Greenpeace
Weiger,BUND
Weiger,RNE
Niebert,DNR
Niebert,NFD
Schoenefeld,BfAN
Matthes,DVPW
Schellnhuber,PIK
Schellnhuber,IPCC
Niebuhr,CAU
Wehrspohn,LFIM
Laemmel,CDU
Laemmel,AWE
Laemmel,PKM
Laemmel,BT
Lenz,CSU
Lenz,AWE
Lenz,PBnE
Lenz,BT
Miersch,SPD
Miersch,BT
Platzeck,KK
Pofalla,KK
Praetorius,KK
Tillich,KK
Hasselfeldt,KK
Kampeter,KK
Kapferer,KK
Kempf,KK
Nemat,KK
Reiche,KK
Roestel,KK
Schweitzer,KK
Grothus,KK
Wodtke,KK
Herntier,KK
Kreuzberg,KK
Priggen,KK
Vassiliadis,KK
Scheidt,KK
Koerzell,KK
Kaiser,KK
Weiger,KK
Niebert,KK
Schoenefeld,KK
Matthes,KK
Schellnhuber,KK
Niebuhr,KK
Wehrspohn,KK
Laemmel,KK
Lenz,KK
Miersch,KK
